what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1378206136426
error,log,,,"IO Exception when contacting server",1378206150429
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1378206178145
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1378206189158
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1378206189776
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1378206189941
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1378206189947
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1378206189951
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1378206189961
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1378206189974
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1378206189983
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1378206189988
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1378206189989
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1378206190000
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1378206190009
stopped,bundle,com.python.pydev.codecompletion,2.0.0.2011040403,"com.python.pydev.codecompletion",1378206190012
stopped,bundle,com.python.pydev.refactoring,2.0.0.2011040403,"com.python.pydev.refactoring",1378206190018
stopped,bundle,com.python.pydev.analysis,2.0.0.2011040403,"com.python.pydev.analysis",1378206190021
stopped,bundle,com.python.pydev.debug,2.0.0.2011040403,"com.python.pydev.debug",1378206190025
stopped,bundle,com.python.pydev.fastparser,2.0.0.2011040403,"com.python.pydev.fastparser",1378206190028
stopped,bundle,com.python.pydev,2.0.0.2011040403,"com.python.pydev",1378206190033
stopped,bundle,org.python.pydev.django,2.0.0.2011040403,"org.python.pydev.django",1378206190036
stopped,bundle,org.python.pydev.customizations,2.0.0.2011040403,"org.python.pydev.customizations",1378206190041
stopped,bundle,org.python.pydev.red_core,2.0.0.2011040403,"org.python.pydev.red_core",1378206190044
stopped,bundle,org.python.pydev.debug,2.0.0.2011040403,"org.python.pydev.debug",1378206190048
stopped,bundle,org.python.pydev.django_templates,2.0.0.2011040403,"org.python.pydev.django_templates",1378206190048
stopped,bundle,org.python.pydev.refactoring,2.0.0.2011040403,"org.python.pydev.refactoring",1378206190055
stopped,bundle,org.python.pydev,2.0.0.2011040403,"org.python.pydev",1378206190055
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1378206190056
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1378206190061
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1378206190069
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1378206190069
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1378206190075
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1378206190082
stopped,bundle,com.aptana.editor.beaver,3.0.0.1300151080,"com.aptana.editor.beaver",1378206190102
